domain,instance,index,generated,expanded,reopened,cost,g1,h1,g2,h2,g3,h3,oprimal_cost,w,is-W-opt
VacuumRobot,17,2,8538.0,4987.0,3915.0,540.0,540.0,302.0,8.0,301.0,9.0,300.0,500.0,0.5,false
VacuumRobot,17,3,10524.0,6140.0,4011.0,502.0,502.0,315.0,6.0,315.0,7.0,314.0,500.0,0.5,false
VacuumRobot,17,4,70066.0,41599.0,2362.0,500.0,500.0,328.0,27.0,328.0,26.0,329.0,500.0,0.5,false
VacuumRobot,18,1,6231.0,3739.0,1480.0,658.0,658.0,379.0,1.0,378.0,2.0,377.0,546.0,0.5,false
VacuumRobot,18,2,12636.0,7369.0,5867.0,634.0,634.0,8.0,303.0,184.0,304.0,183.0,546.0,0.5,false
VacuumRobot,18,3,16777.0,9814.0,7757.0,608.0,608.0,364.0,16.0,367.0,17.0,366.0,546.0,0.5,false
VacuumRobot,18,4,23.0,14.0,7.0,602.0,602.0,8.0,587.0,11.0,588.0,10.0,546.0,0.5,false
VacuumRobot,18,5,11967.0,7066.0,3846.0,572.0,572.0,87.0,457.0,91.0,457.0,91.0,546.0,0.5,false
VacuumRobot,18,6,22.0,14.0,7.0,566.0,566.0,8.0,551.0,11.0,552.0,10.0,546.0,0.5,false
VacuumRobot,18,7,1419.0,808.0,596.0,554.0,554.0,43.0,500.0,44.0,501.0,43.0,546.0,0.5,false
VacuumRobot,18,8,13204.0,7781.0,2092.0,546.0,546.0,11.0,540.0,10.0,32.0,397.0,546.0,0.5,false
VacuumRobot,19,1,7069.0,4151.0,991.0,752.0,752.0,342.0,1.0,341.0,1.0,341.0,602.0,0.5,false
VacuumRobot,19,2,52096.0,30557.0,27145.0,632.0,632.0,232.0,201.0,231.0,202.0,230.0,602.0,0.5,false
VacuumRobot,19,3,26414.0,15439.0,8046.0,608.0,608.0,321.0,62.0,320.0,60.0,322.0,602.0,0.5,false
VacuumRobot,19,4,40483.0,23883.0,3024.0,602.0,602.0,12.0,48.0,374.0,409.0,133.0,602.0,0.5,false
VacuumRobot,20,1,9376.0,5616.0,1762.0,751.0,751.0,372.0,1.0,371.0,2.0,370.0,593.0,0.5,false
VacuumRobot,20,2,18676.0,10968.0,7798.0,613.0,613.0,401.0,29.0,401.0,29.0,401.0,593.0,0.5,false
VacuumRobot,20,3,2681.0,1572.0,175.0,611.0,611.0,10.0,44.0,408.0,45.0,407.0,593.0,0.5,false
VacuumRobot,20,4,75107.0,43985.0,16257.0,595.0,595.0,400.0,91.0,399.0,90.0,400.0,593.0,0.5,false
VacuumRobot,20,5,25.0,15.0,13.0,593.0,593.0,13.0,579.0,12.0,580.0,11.0,593.0,0.5,false
VacuumRobot,21,1,31519.0,18385.0,9637.0,940.0,940.0,384.0,1.0,383.0,2.0,382.0,566.0,0.5,true
VacuumRobot,21,2,36063.0,21131.0,12355.0,626.0,626.0,374.0,12.0,376.0,13.0,375.0,566.0,0.5,false
VacuumRobot,21,3,374.0,219.0,71.0,594.0,594.0,64.0,513.0,63.0,510.0,66.0,566.0,0.5,false
VacuumRobot,21,4,2853.0,1714.0,195.0,586.0,586.0,416.0,33.0,417.0,33.0,417.0,566.0,0.5,false
VacuumRobot,21,5,20956.0,12306.0,1280.0,572.0,572.0,416.0,68.0,416.0,68.0,416.0,566.0,0.5,false
VacuumRobot,21,6,57.0,32.0,27.0,568.0,568.0,24.0,543.0,23.0,544.0,22.0,566.0,0.5,false
VacuumRobot,21,7,7381.0,4174.0,850.0,566.0,566.0,49.0,512.0,48.0,513.0,47.0,566.0,0.5,false
VacuumRobot,22,1,4923.0,2872.0,528.0,826.0,826.0,492.0,1.0,493.0,2.0,492.0,738.0,0.5,false
VacuumRobot,22,2,38165.0,22894.0,20508.0,776.0,776.0,157.0,536.0,158.0,537.0,157.0,738.0,0.5,false
VacuumRobot,22,3,109173.0,64575.0,60572.0,742.0,742.0,487.0,28.0,474.0,29.0,473.0,738.0,0.5,false
VacuumRobot,22,4,94024.0,55575.0,11181.0,738.0,738.0,367.0,80.0,456.0,202.0,372.0,738.0,0.5,false
VacuumRobot,23,1,8876.0,5388.0,2129.0,899.0,899.0,456.0,1.0,455.0,2.0,454.0,693.0,0.5,false
VacuumRobot,23,2,8664.0,5455.0,4383.0,773.0,773.0,121.0,597.0,124.0,593.0,126.0,693.0,0.5,false
VacuumRobot,23,3,9578.0,5857.0,4067.0,753.0,753.0,35.0,697.0,36.0,655.0,56.0,693.0,0.5,false
VacuumRobot,23,4,16596.0,9937.0,9260.0,733.0,733.0,182.0,445.0,172.0,422.0,185.0,693.0,0.5,false
VacuumRobot,23,5,27291.0,16364.0,15119.0,717.0,717.0,187.0,402.0,187.0,415.0,180.0,693.0,0.5,false
VacuumRobot,23,6,49289.0,29225.0,27023.0,703.0,703.0,191.0,405.0,184.0,395.0,190.0,693.0,0.5,false
VacuumRobot,23,7,58946.0,34685.0,23989.0,697.0,697.0,243.0,319.0,242.0,307.0,250.0,693.0,0.5,false
VacuumRobot,23,8,24890.0,14880.0,657.0,695.0,695.0,432.0,87.0,431.0,88.0,430.0,693.0,0.5,false
VacuumRobot,23,9,52363.0,31417.0,642.0,693.0,693.0,444.0,141.0,437.0,174.0,411.0,693.0,0.5,false
VacuumRobot,24,1,10313.0,6038.0,1524.0,851.0,851.0,497.0,1.0,498.0,1.0,498.0,661.0,0.5,false
VacuumRobot,24,2,16092.0,9415.0,4128.0,687.0,687.0,51.0,759.0,50.0,760.0,49.0,661.0,0.5,false
VacuumRobot,24,3,875.0,470.0,255.0,675.0,675.0,105.0,541.0,102.0,540.0,103.0,661.0,0.5,false
VacuumRobot,24,4,15070.0,8826.0,4032.0,665.0,665.0,464.0,93.0,432.0,94.0,431.0,661.0,0.5,false
VacuumRobot,24,5,14591.0,8642.0,3507.0,661.0,661.0,502.0,49.0,494.0,59.0,486.0,661.0,0.5,false
VacuumRobot,25,1,2912.0,1730.0,310.0,628.0,628.0,388.0,1.0,387.0,2.0,386.0,524.0,0.5,false
VacuumRobot,25,2,5480.0,3236.0,2188.0,580.0,580.0,339.0,56.0,338.0,216.0,244.0,524.0,0.5,false
VacuumRobot,25,3,2549.0,1532.0,965.0,558.0,558.0,123.0,390.0,122.0,389.0,123.0,524.0,0.5,false
VacuumRobot,25,4,13882.0,8136.0,5213.0,534.0,534.0,383.0,17.0,379.0,17.0,379.0,524.0,0.5,false
VacuumRobot,25,5,10062.0,5987.0,4418.0,526.0,526.0,161.0,310.0,162.0,317.0,157.0,524.0,0.5,false
VacuumRobot,25,6,28974.0,17251.0,773.0,524.0,524.0,385.0,24.0,386.0,24.0,386.0,524.0,0.5,false
VacuumRobot,26,1,9973.0,5906.0,1730.0,667.0,667.0,264.0,1.0,265.0,1.0,265.0,503.0,0.5,false
VacuumRobot,26,2,25141.0,14421.0,5237.0,556.0,556.0,270.0,7.0,269.0,7.0,271.0,503.0,0.5,false
VacuumRobot,26,3,1213.0,695.0,396.0,542.0,542.0,33.0,476.0,34.0,475.0,35.0,503.0,0.5,false
VacuumRobot,26,4,6988.0,4044.0,2914.0,530.0,530.0,91.0,390.0,86.0,394.0,84.0,503.0,0.5,false
VacuumRobot,26,5,44331.0,25626.0,13089.0,518.0,518.0,306.0,52.0,305.0,48.0,308.0,503.0,0.5,false
VacuumRobot,26,6,62469.0,36482.0,5623.0,503.0,503.0,81.0,390.0,78.0,390.0,78.0,503.0,0.5,false
VacuumRobot,27,1,7585.0,4446.0,833.0,649.0,649.0,324.0,1.0,323.0,2.0,322.0,435.0,0.5,false
VacuumRobot,27,2,16132.0,9298.0,4446.0,493.0,493.0,293.0,50.0,292.0,51.0,291.0,435.0,0.5,false
VacuumRobot,27,3,965.0,539.0,325.0,477.0,477.0,9.0,471.0,10.0,472.0,9.0,435.0,0.5,false
VacuumRobot,27,4,2577.0,1470.0,1160.0,463.0,463.0,11.0,453.0,14.0,454.0,13.0,435.0,0.5,false
VacuumRobot,27,5,5114.0,2919.0,2515.0,457.0,457.0,14.0,440.0,13.0,438.0,15.0,435.0,0.5,false
VacuumRobot,27,6,3194.0,1814.0,1186.0,453.0,453.0,17.0,431.0,18.0,418.0,27.0,435.0,0.5,false
VacuumRobot,27,7,5561.0,3168.0,3139.0,445.0,445.0,30.0,412.0,29.0,413.0,28.0,435.0,0.5,false
VacuumRobot,27,8,3387.0,1925.0,1813.0,441.0,441.0,16.0,418.0,17.0,419.0,16.0,435.0,0.5,false
VacuumRobot,27,9,5883.0,3316.0,2959.0,435.0,435.0,30.0,400.0,29.0,401.0,28.0,435.0,0.5,false
VacuumRobot,28,1,2077.0,1201.0,37.0,696.0,696.0,456.0,1.0,455.0,2.0,454.0,562.0,0.5,false
VacuumRobot,28,2,7776.0,4545.0,2448.0,598.0,598.0,442.0,13.0,443.0,23.0,437.0,562.0,0.5,false
VacuumRobot,28,3,1245.0,711.0,462.0,588.0,588.0,55.0,520.0,56.0,520.0,56.0,562.0,0.5,false
VacuumRobot,28,4,1496.0,912.0,106.0,582.0,582.0,460.0,9.0,461.0,7.0,463.0,562.0,0.5,false
VacuumRobot,28,5,3570.0,2024.0,828.0,570.0,570.0,461.0,22.0,472.0,22.0,472.0,562.0,0.5,false
VacuumRobot,28,6,18.0,10.0,7.0,568.0,568.0,10.0,559.0,9.0,560.0,8.0,562.0,0.5,false
VacuumRobot,28,7,1847.0,1061.0,313.0,564.0,564.0,76.0,481.0,75.0,482.0,74.0,562.0,0.5,false
VacuumRobot,28,8,6964.0,4099.0,1096.0,562.0,562.0,15.0,553.0,9.0,542.0,18.0,562.0,0.5,false
