hRange, Ratio, Pr(Ratio)<=
31.0,2.1666666666666665,0.7599999999999995
31.0,2.176470588235294,0.7624999999999994
31.0,2.2,0.7649999999999993
31.0,2.2222222222222223,0.7674999999999993
31.0,2.230769230769231,0.7749999999999992
31.0,2.25,0.7774999999999992
31.0,2.272727272727273,0.7899999999999991
31.0,2.2857142857142856,0.7974999999999991
31.0,2.2941176470588234,0.8024999999999991
31.0,2.3333333333333335,0.8199999999999991
31.0,2.375,0.822499999999999
31.0,2.3846153846153846,0.824999999999999
31.0,2.4285714285714284,0.829999999999999
31.0,2.4545454545454546,0.834999999999999
31.0,2.466666666666667,0.8374999999999989
31.0,2.5,0.8399999999999989
31.0,2.5294117647058822,0.8424999999999988
31.0,2.5384615384615383,0.8449999999999988
31.0,2.5555555555555554,0.8474999999999987
31.0,2.5714285714285716,0.8524999999999987
31.0,2.6,0.8549999999999986
31.0,2.6363636363636362,0.8574999999999986
31.0,2.6470588235294117,0.8599999999999985
31.0,2.6666666666666665,0.8674999999999985
31.0,2.6923076923076925,0.8699999999999984
31.0,2.75,0.8724999999999984
31.0,2.764705882352941,0.8774999999999984
31.0,2.8181818181818183,0.8799999999999983
31.0,2.8333333333333335,0.8824999999999983
31.0,2.8461538461538463,0.8874999999999983
31.0,2.857142857142857,0.8899999999999982
31.0,2.875,0.8924999999999982
31.0,3.0,0.8949999999999981
31.0,3.111111111111111,0.8974999999999981
31.0,3.1333333333333333,0.899999999999998
31.0,3.142857142857143,0.902499999999998
31.0,3.1666666666666665,0.9049999999999979
31.0,3.1818181818181817,0.9074999999999979
31.0,3.2222222222222223,0.9124999999999979
31.0,3.2857142857142856,0.9149999999999978
31.0,3.3076923076923075,0.9174999999999978
31.0,3.3333333333333335,0.9199999999999977
31.0,3.3529411764705883,0.9249999999999977
31.0,3.4705882352941178,0.9274999999999977
31.0,3.5,0.9299999999999976
31.0,3.5454545454545454,0.9324999999999976
31.0,3.6153846153846154,0.9349999999999975
31.0,3.6666666666666665,0.9399999999999975
31.0,3.75,0.9424999999999975
31.0,3.857142857142857,0.9449999999999974
31.0,3.909090909090909,0.9474999999999973
31.0,4.0,0.9499999999999973
31.0,4.2,0.9524999999999972
31.0,4.230769230769231,0.9549999999999972
31.0,4.333333333333333,0.9574999999999971
31.0,4.454545454545454,0.9599999999999971
31.0,4.571428571428571,0.962499999999997
31.0,4.647058823529412,0.964999999999997
31.0,4.666666666666667,0.9674999999999969
31.0,5.0,0.9724999999999969
31.0,5.181818181818182,0.9749999999999969
31.0,5.5,0.9774999999999968
31.0,6.090909090909091,0.9799999999999968
31.0,6.222222222222222,0.9824999999999967
31.0,6.333333333333333,0.9849999999999967
31.0,6.647058823529412,0.9874999999999966
31.0,6.857142857142857,0.9899999999999965
31.0,7.125,0.9924999999999965
31.0,7.666666666666667,0.9949999999999964
31.0,8.285714285714286,0.9974999999999964
31.0,9.0,1.0
56.0,1.0,0.04153846153846154
56.0,1.064516129032258,0.046153846153846156
56.0,1.0666666666666667,0.04923076923076923
56.0,1.0689655172413792,0.05076923076923077
56.0,1.0714285714285714,0.052307692307692305
56.0,1.0740740740740742,0.05538461538461538
56.0,1.0769230769230769,0.061538461538461535
56.0,1.08,0.06923076923076923
56.0,1.0833333333333333,0.07846153846153847
56.0,1.0869565217391304,0.08615384615384616
56.0,1.0909090909090908,0.1
56.0,1.0952380952380953,0.10923076923076924
56.0,1.1,0.11846153846153848
56.0,1.105263157894737,0.12769230769230772
56.0,1.1290322580645162,0.13692307692307695
56.0,1.1333333333333333,0.14923076923076925
56.0,1.1379310344827587,0.1630769230769231
56.0,1.1428571428571428,0.1753846153846154
56.0,1.1481481481481481,0.18461538461538463
56.0,1.1538461538461537,0.19230769230769232
56.0,1.16,0.20153846153846156
56.0,1.1666666666666667,0.2107692307692308
56.0,1.173913043478261,0.22615384615384618
56.0,1.1818181818181819,0.23538461538461541
56.0,1.1904761904761905,0.2461538461538462
56.0,1.1935483870967742,0.25230769230769234
56.0,1.2,0.26769230769230773
56.0,1.206896551724138,0.2738461538461539
56.0,1.2105263157894737,0.2800000000000001
56.0,1.2142857142857142,0.28615384615384626
56.0,1.2222222222222223,0.293846153846154
56.0,1.2307692307692308,0.30153846153846164
56.0,1.24,0.3061538461538463
56.0,1.25,0.3076923076923078
56.0,1.2580645161290323,0.30923076923076936
56.0,1.2666666666666666,0.313846153846154
56.0,1.2727272727272727,0.31846153846153863
56.0,1.2758620689655173,0.3246153846153848
56.0,1.2857142857142858,0.33538461538461556
56.0,1.2962962962962963,0.34153846153846174
56.0,1.3,0.3446153846153848
56.0,1.3076923076923077,0.34923076923076946
56.0,1.3157894736842106,0.3569230769230771
56.0,1.32,0.3646153846153848
56.0,1.3225806451612903,0.3692307692307694
56.0,1.3333333333333333,0.38000000000000017
56.0,1.3448275862068966,0.38307692307692326
56.0,1.3478260869565217,0.3876923076923079
56.0,1.3571428571428572,0.38923076923076944
56.0,1.3636363636363635,0.39384615384615407
56.0,1.3703703703703705,0.40000000000000024
56.0,1.380952380952381,0.410769230769231
56.0,1.3846153846153846,0.41846153846153866
56.0,1.3870967741935485,0.42153846153846175
56.0,1.4,0.43384615384615405
56.0,1.4166666666666667,0.44153846153846177
56.0,1.4210526315789473,0.44769230769230794
56.0,1.4285714285714286,0.4492307692307695
56.0,1.434782608695652,0.4615384615384618
56.0,1.4516129032258065,0.46307692307692333
56.0,1.4545454545454546,0.4692307692307695
56.0,1.4615384615384615,0.4723076923076926
56.0,1.4666666666666666,0.4753846153846157
56.0,1.4761904761904763,0.48153846153846186
56.0,1.48,0.4830769230769234
56.0,1.4827586206896552,0.48461538461538495
56.0,1.5,0.49692307692307724
56.0,1.5161290322580645,0.5030769230769234
56.0,1.5185185185185186,0.5061538461538465
56.0,1.5217391304347827,0.507692307692308
56.0,1.5263157894736843,0.5138461538461542
56.0,1.5333333333333334,0.5184615384615388
56.0,1.5384615384615385,0.5200000000000002
56.0,1.5454545454545454,0.5246153846153848
56.0,1.5517241379310345,0.5292307692307694
56.0,1.56,0.5369230769230771
56.0,1.5714285714285714,0.5415384615384616
56.0,1.5806451612903225,0.5461538461538462
56.0,1.5833333333333333,0.5492307692307693
56.0,1.5925925925925926,0.5523076923076924
56.0,1.6,0.56
56.0,1.608695652173913,0.5630769230769231
56.0,1.6153846153846154,0.5661538461538462
56.0,1.6206896551724137,0.5707692307692308
56.0,1.631578947368421,0.576923076923077
56.0,1.6363636363636365,0.5784615384615385
56.0,1.64,0.58
56.0,1.6428571428571428,0.5876923076923076
56.0,1.6451612903225807,0.5938461538461538
56.0,1.6666666666666667,0.6107692307692307
56.0,1.6896551724137931,0.6169230769230769
56.0,1.6923076923076923,0.62
56.0,1.7,0.6230769230769231
56.0,1.7096774193548387,0.6246153846153846
56.0,1.7142857142857142,0.6276923076923077
56.0,1.72,0.6323076923076922
56.0,1.7272727272727273,0.6338461538461537
56.0,1.7333333333333334,0.6353846153846152
56.0,1.736842105263158,0.6384615384615383
56.0,1.7407407407407407,0.6446153846153845
56.0,1.75,0.6476923076923076
56.0,1.7586206896551724,0.6507692307692307
56.0,1.7619047619047619,0.6523076923076921
56.0,1.7692307692307692,0.6553846153846152
56.0,1.7741935483870968,0.6584615384615383
56.0,1.7826086956521738,0.6646153846153845
56.0,1.7857142857142858,0.666153846153846
56.0,1.8,0.6707692307692306
56.0,1.8148148148148149,0.6738461538461537
56.0,1.8181818181818181,0.6769230769230767
56.0,1.8275862068965518,0.6784615384615382
56.0,1.8333333333333333,0.6799999999999997
56.0,1.8421052631578947,0.6815384615384612
56.0,1.8461538461538463,0.6861538461538458
56.0,1.8571428571428572,0.695384615384615
56.0,1.8666666666666667,0.6999999999999996
56.0,1.88,0.7030769230769227
56.0,1.8888888888888888,0.7092307692307689
56.0,1.9,0.7153846153846151
56.0,1.903225806451613,0.7184615384615382
56.0,1.9090909090909092,0.7215384615384612
56.0,1.9166666666666667,0.7246153846153843
56.0,1.9230769230769231,0.7261538461538458
56.0,1.9333333333333333,0.7276923076923073
56.0,1.9473684210526316,0.7323076923076919
56.0,1.9565217391304348,0.735384615384615
56.0,1.96,0.7415384615384611
