InstanceID,h,opt
14,3.0,10.0,
14,4.0,12.0,
14,5.0,11.0,
14,6.0,8.0,
14,8.0,20.0,
14,9.0,12.0,
14,10.0,21.0,
14,11.0,22.0,
14,13.0,24.0,
14,14.0,25.0,
14,17.0,34.0,
14,19.0,32.0,
14,20.0,34.0,
14,21.0,39.0,
14,22.0,32.0,
14,23.0,39.0,
14,24.0,40.0,
14,26.0,43.0,
14,28.0,44.0,
14,29.0,47.0,
14,34.0,52.0,
14,39.0,61.0,
15,1.0,1.0,
15,2.0,4.0,
15,3.0,11.0,
15,4.0,5.0,
15,5.0,32.0,
15,6.0,17.0,
15,7.0,71.0,
15,8.0,20.0,
15,9.0,72.0,
15,10.0,89.0,
15,11.0,29.0,
15,12.0,89.0,
15,13.0,89.0,
15,14.0,60.0,
15,15.0,85.0,
15,16.0,64.0,
15,17.0,84.0,
15,18.0,83.0,
15,19.0,70.0,
15,20.0,26.0,
15,21.0,91.0,
15,22.0,32.0,
15,23.0,105.0,
15,24.0,73.0,
15,25.0,47.0,
15,26.0,74.0,
15,27.0,71.0,
15,28.0,97.0,
15,29.0,79.0,
15,30.0,98.0,
15,31.0,74.0,
15,32.0,75.0,
15,33.0,108.0,
15,34.0,112.0,
15,35.0,110.0,
15,36.0,111.0,
15,37.0,108.0,
15,38.0,93.0,
15,39.0,85.0,
15,40.0,93.0,
15,41.0,89.0,
15,42.0,89.0,
15,43.0,92.0,
15,44.0,80.0,
15,45.0,109.0,
15,46.0,99.0,
15,47.0,128.0,
15,48.0,-1.0,
15,49.0,-1.0,
16,1.0,1.0,
16,2.0,9.0,
16,4.0,8.0,
16,5.0,9.0,
16,6.0,10.0,
16,7.0,10.0,
16,8.0,11.0,
16,9.0,16.0,
16,10.0,27.0,
16,11.0,24.0,
16,12.0,27.0,
16,13.0,28.0,
16,14.0,26.0,
16,15.0,38.0,
16,16.0,31.0,
16,17.0,28.0,
16,18.0,29.0,
16,19.0,30.0,
16,20.0,42.0,
16,22.0,42.0,
16,23.0,43.0,
16,24.0,40.0,
16,25.0,42.0,
16,33.0,55.0,
16,35.0,57.0,
16,36.0,58.0,
16,37.0,59.0,
17,1.0,1.0,
17,2.0,10.0,
17,3.0,13.0,
17,4.0,10.0,
17,5.0,12.0,
17,6.0,13.0,
17,7.0,14.0,
17,8.0,43.0,
17,9.0,20.0,
17,10.0,44.0,
17,11.0,51.0,
17,12.0,46.0,
17,13.0,51.0,
17,14.0,51.0,
17,15.0,36.0,
17,16.0,61.0,
17,17.0,64.0,
17,18.0,61.0,
17,19.0,60.0,
17,20.0,61.0,
17,21.0,31.0,
