InstanceID,Found,Depth,Cost,Iterations,Generated,Expanded,Cpu Time,Wall Time,delta,epsilon,pacCondition
87,1,595,595.0,7,137680,81679,281,276,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
88,1,511,511.0,4,86053,50672,187,193,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
89,1,518,518.0,11,78552,45980,140,148,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
90,1,760,760.0,9,302051,178880,468,469,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
91,1,629,629.0,5,231953,137350,421,429,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
92,1,523,523.0,4,60117,35963,125,121,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
93,1,469,469.0,7,96542,57180,171,179,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
94,1,614,614.0,5,143684,84266,250,253,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
95,1,807,807.0,14,479133,285555,828,820,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
96,1,610,610.0,4,110314,64419,234,235,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
97,1,452,452.0,7,54358,31490,93,96,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
98,1,728,728.0,6,236569,141354,453,492,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
99,1,636,636.0,8,783905,463290,1296,1324,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
100,1,748,748.0,5,120534,71964,218,210,0.7,0.2,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
51,1,455,455.0,4,90870,54065,187,185,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
52,1,630,630.0,8,100893,59463,203,208,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
53,1,554,554.0,7,67872,40943,140,142,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
54,1,618,618.0,7,153799,90979,343,380,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
55,1,624,624.0,7,205707,121576,468,473,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
56,1,286,286.0,3,30834,18331,62,57,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
57,1,506,506.0,7,79085,46230,171,161,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
58,1,713,713.0,8,231261,138206,421,443,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
59,1,541,541.0,6,93612,54081,187,188,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
60,1,466,466.0,8,82931,49055,171,175,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
61,1,631,631.0,4,224537,133385,453,458,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
62,1,605,605.0,6,89191,52979,187,190,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
63,1,683,683.0,7,265030,156879,546,614,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
64,1,455,455.0,7,41757,24563,62,69,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
65,1,502,502.0,4,65373,38841,93,168,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
66,1,440,440.0,4,90797,53816,218,209,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
67,1,451,451.0,6,77813,45765,109,122,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
68,1,620,620.0,7,182893,108509,390,386,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
69,1,439,439.0,7,62989,36896,125,127,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
70,1,534,534.0,9,69634,41086,140,162,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
71,1,568,568.0,6,59582,34850,125,122,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
72,1,483,483.0,4,59471,34881,93,101,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
73,1,552,552.0,4,88392,52642,187,196,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
74,1,597,597.0,8,64330,38203,125,137,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
75,1,614,614.0,8,396369,235221,609,615,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
76,1,441,441.0,6,94111,54371,156,166,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
77,1,459,459.0,5,36187,21193,62,68,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
78,1,646,646.0,5,144690,85702,281,315,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
79,1,626,626.0,5,262113,155490,562,676,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
80,1,506,506.0,5,89117,52572,171,175,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
81,1,697,697.0,7,143139,84927,296,305,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
82,1,576,576.0,7,103362,61255,265,273,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
83,1,509,509.0,8,38203,22524,93,90,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
84,1,804,804.0,5,233230,138478,453,492,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
85,1,738,738.0,6,387339,228003,812,811,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
86,1,631,631.0,6,124250,74033,250,254,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
87,1,595,595.0,7,137680,81679,296,312,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
88,1,511,511.0,4,86053,50672,171,183,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
89,1,518,518.0,11,78552,45980,140,170,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
90,1,760,760.0,9,302051,178880,500,525,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
91,1,629,629.0,5,231953,137350,453,473,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
92,1,523,523.0,4,60117,35963,109,125,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
93,1,469,469.0,7,96542,57180,187,185,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
94,1,614,614.0,5,143684,84266,234,257,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
95,1,807,807.0,14,479133,285555,890,884,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
96,1,610,610.0,4,110314,64419,250,245,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
97,1,452,452.0,7,54358,31490,93,96,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
98,1,728,728.0,6,236569,141354,531,532,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
99,1,636,636.0,8,783905,463290,1312,1413,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
100,1,748,748.0,5,120534,71964,218,210,0.2,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
51,1,455,455.0,4,90870,54065,187,186,0.5,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
52,1,630,630.0,8,100893,59463,203,193,0.5,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
53,1,554,554.0,7,67872,40943,140,144,0.5,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
54,1,618,618.0,7,153799,90979,343,349,0.5,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
55,1,624,624.0,7,205707,121576,437,437,0.5,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
56,1,286,286.0,3,30834,18331,78,69,0.5,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
57,1,506,506.0,7,79085,46230,156,153,0.5,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
58,1,713,713.0,8,231261,138206,468,480,0.5,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
59,1,541,541.0,6,93612,54081,187,204,0.5,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
60,1,466,466.0,8,82931,49055,203,192,0.5,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
61,1,631,631.0,4,224537,133385,468,469,0.5,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
62,1,605,605.0,6,89191,52979,187,184,0.5,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
63,1,683,683.0,7,265030,156879,484,500,0.5,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
64,1,455,455.0,7,41757,24563,62,69,0.5,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
65,1,502,502.0,4,65373,38841,125,123,0.5,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
66,1,440,440.0,4,90797,53816,203,200,0.5,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
67,1,451,451.0,6,77813,45765,125,120,0.5,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
68,1,620,620.0,7,182893,108509,343,338,0.5,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
69,1,439,439.0,7,62989,36896,109,109,0.5,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
70,1,534,534.0,9,69634,41086,125,125,0.5,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
71,1,568,568.0,6,59582,34850,109,128,0.5,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
72,1,483,483.0,4,59471,34881,109,123,0.5,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
73,1,552,552.0,4,88392,52642,171,170,0.5,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
74,1,597,597.0,8,64330,38203,140,129,0.5,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
75,1,614,614.0,8,396369,235221,640,654,0.5,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
76,1,441,441.0,6,94111,54371,156,155,0.5,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
77,1,459,459.0,5,36187,21193,62,70,0.5,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
78,1,646,646.0,5,144690,85702,296,290,0.5,0.5,org.cs4j.core.algorithms.pac.conditions.MLPacCondition,
